16:43:42 INFO  : Generating Export directory
16:43:43 INFO  : Platform Build Finished successfully.
16:55:39 INFO  : cmd.exe, /C, empyro.bat validate_bsp -t empty_application -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\export\OCDS_platform\sw\standalone_psu_cortexa53_0 -r C:\OCDS\cloude-detection-accelerator\_ide\.wsdata\.repo.yaml
16:55:40 INFO  : Successfully validated template empty_application
16:55:45 INFO  : lopper command to create baremetal application :empyro.bat create_app --src_dir C:\OCDS\cloude-detection-accelerator\OCDS_ps\src -t empty_application -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\export\OCDS_platform\sw\standalone_psu_cortexa53_0 -n OCDS_ps -r C:\OCDS\cloude-detection-accelerator\_ide\.wsdata\.repo.yaml
16:55:45 INFO  : cmd.exe, /C, empyro.bat validate_bsp -t empty_application -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\export\OCDS_platform\sw\standalone_psu_cortexa53_0 -r C:\OCDS\cloude-detection-accelerator\_ide\.wsdata\.repo.yaml
16:55:46 INFO  : Successfully validated template empty_application
16:55:46 INFO  : cmd.exe, /C, empyro.bat create_app --src_dir C:\OCDS\cloude-detection-accelerator\OCDS_ps\src -t empty_application -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\export\OCDS_platform\sw\standalone_psu_cortexa53_0 -n OCDS_ps -r C:\OCDS\cloude-detection-accelerator\_ide\.wsdata\.repo.yaml
16:55:50 INFO  : [INFO]: Generating Linker script for empty_application
16:55:50 INFO  : [INFO]: Successfully Created Application sources at C:/OCDS/cloude-detection-accelerator/OCDS_ps/src
16:55:50 INFO  : Successfully created Application C:\OCDS\cloude-detection-accelerator\OCDS_ps\src
16:55:50 INFO  : created .gitignore file for the project C:\OCDS\cloude-detection-accelerator\OCDS_ps
16:55:50 INFO  : The hardware specification used by project 'C:\OCDS\cloude-detection-accelerator\OCDS_ps' is out of sync with the platform. Resource files extracted from the hardware specification will be updated.
16:55:50 INFO  : The updated bitstream files are copied from platform to folder 'C:\OCDS\cloude-detection-accelerator\OCDS_ps\_ide\bitstream' in project 'C:\OCDS\cloude-detection-accelerator\OCDS_ps'.
16:55:50 INFO  : The updated ps init files are copied from platform to folder 'C:\OCDS\cloude-detection-accelerator\OCDS_ps\_ide\psinit' in project 'C:\OCDS\cloude-detection-accelerator\OCDS_ps'.
17:05:08 INFO  : BSP build will be initiated for Domain zynqmp_fsbl
17:05:08 INFO  : BSP build will be initiated for Domain zynqmp_pmufw
17:05:08 INFO  : Generating BSP for the domain C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl\zynqmp_fsbl_bsp
17:05:08 INFO  : Generating BSP for the domain C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw\zynqmp_pmufw_bsp
17:05:08 INFO  : lopper command to reconfigure BSP :empyro.bat reconfig_bsp -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl\zynqmp_fsbl_bsp
17:05:08 INFO  : lopper command to reconfigure BSP :empyro.bat reconfig_bsp -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw\zynqmp_pmufw_bsp
17:05:08 INFO  : BSP build will be initiated for Domain standalone_psu_cortexa53_0
17:05:08 INFO  : Generating BSP for the domain C:\OCDS\cloude-detection-accelerator\OCDS_platform\psu_cortexa53_0\standalone_psu_cortexa53_0\bsp
17:05:08 INFO  : cmd.exe, /C, empyro.bat reconfig_bsp -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw\zynqmp_pmufw_bsp
17:05:08 INFO  : cmd.exe, /C, empyro.bat reconfig_bsp -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_fsbl\zynqmp_fsbl_bsp
17:05:08 INFO  : lopper command to reconfigure BSP :empyro.bat reconfig_bsp -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\psu_cortexa53_0\standalone_psu_cortexa53_0\bsp
17:05:08 INFO  : cmd.exe, /C, empyro.bat reconfig_bsp -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\psu_cortexa53_0\standalone_psu_cortexa53_0\bsp
17:05:08 INFO  : Domain reconfigured successfully
17:05:08 INFO  : Generating BSP for the domain C:\OCDS\cloude-detection-accelerator\OCDS_platform\psu_cortexa53_0\standalone_psu_cortexa53_0\bsp
17:05:08 INFO  : lopper command to build BSP :empyro.bat build_bsp -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\psu_cortexa53_0\standalone_psu_cortexa53_0\bsp
17:05:08 INFO  : cmd.exe, /C, empyro.bat build_bsp -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\psu_cortexa53_0\standalone_psu_cortexa53_0\bsp
17:05:08 INFO  : Domain reconfigured successfully
17:05:08 INFO  : Generating BSP for the domain C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw\zynqmp_pmufw_bsp
17:05:08 INFO  : lopper command to build BSP :empyro.bat build_bsp -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw\zynqmp_pmufw_bsp
17:05:08 INFO  : cmd.exe, /C, empyro.bat build_bsp -d C:\OCDS\cloude-detection-accelerator\OCDS_platform\zynqmp_pmufw\zynqmp_pmufw_bsp
